DateTime,Weather,Precipitation,Temperature,ApparentTemperature,PrecipitationType
1/25/2015 10:00,Clear,0,42.49,42.49,none
1/25/2015 11:00,Clear,0,48.17,48.17,none
1/25/2015 12:00,Clear,0,50.7,50.7,none
1/25/2015 13:00,Clear,0,52.86,52.86,none
1/25/2015 14:00,Clear,0,54.27,54.27,none
1/25/2015 15:00,Clear,0,55.01,55.01,none
1/25/2015 16:00,Clear,0,54.73,54.73,none
1/25/2015 17:00,Clear,0,53.02,53.02,none
1/25/2015 18:00,Clear,0,49.63,49.63,none
1/25/2015 19:00,Clear,0,45.86,45.86,none
1/25/2015 20:00,Clear,0,43.48,43.48,none
1/25/2015 21:00,Clear,0,42.73,42.73,none
1/25/2015 22:00,Clear,0,42.92,42.92,none
1/25/2015 23:00,Mostly Cloudy,0,43.1,43.1,none
1/26/2015 0:00,Partly Cloudy,0,42.23,42.23,none
1/26/2015 1:00,Mostly Cloudy,0,41.3,41.3,none
1/26/2015 2:00,Overcast,0,40.99,40.99,none
1/26/2015 3:00,Mostly Cloudy,0,40.18,40.18,none
1/26/2015 4:00,Overcast,0,39.69,39.69,none
1/26/2015 5:00,Overcast,0.0002,39.58,39.58,rain
1/26/2015 6:00,Overcast,0.0022,39.62,39.62,rain
1/26/2015 7:00,Light Rain,0.0149,39.33,39.33,rain
1/26/2015 8:00,Light Rain,0.0381,39.43,39.43,rain
1/26/2015 9:00,Light Rain,0.027,40.21,40.21,rain
1/26/2015 10:00,Light Rain,0.0197,43.04,43.04,rain
1/26/2015 11:00,Mostly Cloudy,0.0017,46.17,46.17,rain
1/26/2015 12:00,Overcast,0,47.12,47.12,none
1/26/2015 13:00,Overcast,0,47.15,47.15,none
1/26/2015 14:00,Overcast,0,47.73,47.73,none
1/26/2015 15:00,Overcast,0,47.63,47.63,none
1/26/2015 16:00,Overcast,0,47.38,47.38,none
1/26/2015 17:00,Mostly Cloudy,0,46.64,46.64,none
1/26/2015 18:00,Overcast,0,45.54,45.54,none
1/26/2015 19:00,Overcast,0,44.77,44.77,none
1/26/2015 20:00,Overcast,0.0016,43.87,43.87,rain
1/26/2015 21:00,Overcast,0.0013,42.81,42.81,rain
1/26/2015 22:00,Overcast,0.0004,42.08,42.08,rain
1/26/2015 23:00,Overcast,0,41.18,41.18,none
1/27/2015 0:00,Overcast,0,39.99,39.99,none
1/27/2015 1:00,Overcast,0,38.74,38.74,none
1/27/2015 2:00,Overcast,0,38.43,38.43,none
1/27/2015 3:00,Overcast,0.002,35,29.35,snow
1/27/2015 4:00,Overcast,0,35.07,30.65,none
1/27/2015 5:00,Overcast,0,34.63,29.44,none
1/27/2015 6:00,Overcast,0,34.16,34.16,none
1/27/2015 7:00,Overcast,0,33.59,33.59,none
1/27/2015 8:00,Overcast,0,33.1,33.1,none
1/27/2015 9:00,Overcast,0,33.29,33.29,none
